Record ID,Date,Region,District,Service Type,Role Type,Tenure Band,Fleet Age,Route Cost Per Ton,Stops Per Route,Fleet Utilization Rate,Voluntary Turnover Rate,Safety Incident Rate,Avg Driver Tenure Years,Truck Count,Tons Collected,Revenue
WC-000001_202408,2024-08-01,Western,Pacific Northwest,Residential,Driver,2-5 Years,Mid-Life (3-5yr),43.61,330.0,0.9019,0.0173,1.76,3.6,17,443.0,24007.0
WC-000002_202408,2024-08-01,Western,Pacific Northwest,Commercial,Driver,1-2 Years,Aging (6-8yr),51.21,109.0,0.8658,0.0292,2.58,4.5,8,68.0,4559.0
WC-000003_202408,2024-08-01,Western,Pacific Northwest,Industrial,Operator,2-5 Years,New (0-2yr),49.6,29.0,0.9531,0.0163,1.76,3.6,2,10.0,500.0
WC-000004_202408,2024-08-01,Western,Pacific Northwest,E&P,Driver,1-2 Years,Mid-Life (3-5yr),37.17,16.0,0.9495,0.024,3.51,5.6,1,10.0,500.0
WC-000005_202408,2024-08-01,Western,Northern California,Residential,Driver,1-2 Years,New (0-2yr),45.04,281.0,0.8497,0.0166,1.68,5.4,9,147.0,8753.0
WC-000006_202408,2024-08-01,Western,Northern California,Commercial,Driver,1-2 Years,New (0-2yr),48.87,141.0,0.9212,0.0271,2.86,4.5,10,59.0,3886.0
WC-000007_202408,2024-08-01,Western,Northern California,Industrial,Driver,2-5 Years,End-of-Life (9+yr),50.46,27.0,0.8864,0.0192,1.53,5.3,4,10.0,500.0
WC-000008_202408,2024-08-01,Western,Northern California,E&P,Driver,1-2 Years,Aging (6-8yr),45.36,16.0,0.9037,0.0163,3.27,4.4,4,10.0,500.0
WC-000009_202408,2024-08-01,Western,Southern California,Residential,Operator,10+ Years,Mid-Life (3-5yr),46.95,274.0,0.8597,0.0296,2.64,4.3,18,296.0,17611.0
WC-000010_202408,2024-08-01,Western,Southern California,Commercial,Driver,1-2 Years,Mid-Life (3-5yr),43.21,147.0,0.8723,0.0195,2.58,4.9,10,72.0,4161.0
WC-000011_202408,2024-08-01,Western,Southern California,Industrial,Mechanic,10+ Years,Mid-Life (3-5yr),46.04,31.0,0.8924,0.0279,1.99,5.0,5,10.0,500.0
WC-000012_202408,2024-08-01,Western,Southern California,E&P,Mechanic,5-10 Years,New (0-2yr),42.55,12.0,0.872,0.0276,3.19,3.6,3,10.0,500.0
WC-000013_202408,2024-08-01,Western,Mountain West,Residential,Driver,1-2 Years,New (0-2yr),37.31,325.0,0.8538,0.0162,2.31,3.7,18,388.0,17256.0
WC-000014_202408,2024-08-01,Western,Mountain West,Commercial,Helper,< 1 Year,New (0-2yr),46.74,84.0,0.9173,0.023,2.71,5.5,9,57.0,3292.0
WC-000015_202408,2024-08-01,Western,Mountain West,Industrial,Helper,< 1 Year,Mid-Life (3-5yr),43.41,19.0,0.9447,0.0245,2.45,5.4,3,10.0,500.0
WC-000016_202408,2024-08-01,Western,Mountain West,E&P,Mechanic,10+ Years,End-of-Life (9+yr),44.51,9.0,0.9723,0.0284,2.08,3.6,4,10.0,500.0
WC-000017_202408,2024-08-01,Southern,Gulf Coast,Residential,Driver,5-10 Years,Mid-Life (3-5yr),48.87,331.0,0.894,0.0182,1.93,4.3,14,190.0,12398.0
WC-000018_202408,2024-08-01,Southern,Gulf Coast,Commercial,Mechanic,1-2 Years,Aging (6-8yr),37.84,149.0,0.9115,0.0212,2.66,5.3,13,101.0,4762.0
WC-000019_202408,2024-08-01,Southern,Gulf Coast,Industrial,Operator,1-2 Years,End-of-Life (9+yr),43.59,18.0,0.8381,0.0289,3.37,4.8,3,10.0,500.0
WC-000020_202408,2024-08-01,Southern,Gulf Coast,E&P,Operator,10+ Years,End-of-Life (9+yr),43.61,12.0,0.8689,0.0172,3.2,5.3,4,10.0,500.0
WC-000021_202408,2024-08-01,Southern,Southeast Texas,Residential,Driver,1-2 Years,End-of-Life (9+yr),51.18,294.0,0.8578,0.0222,1.6,3.9,13,299.0,17740.0
WC-000022_202408,2024-08-01,Southern,Southeast Texas,Commercial,Helper,< 1 Year,Mid-Life (3-5yr),52.67,152.0,0.8851,0.0232,3.59,5.1,10,87.0,5535.0
WC-000023_202408,2024-08-01,Southern,Southeast Texas,Industrial,Helper,10+ Years,Aging (6-8yr),41.05,25.0,0.9213,0.0161,3.29,6.5,3,10.0,500.0
WC-000024_202408,2024-08-01,Southern,Southeast Texas,E&P,Operator,1-2 Years,New (0-2yr),39.03,12.0,0.9349,0.0299,1.58,5.2,2,10.0,500.0
WC-000025_202408,2024-08-01,Southern,Florida Panhandle,Residential,Driver,5-10 Years,End-of-Life (9+yr),48.65,286.0,0.8285,0.0181,1.95,4.4,24,401.0,25575.0
WC-000026_202408,2024-08-01,Southern,Florida Panhandle,Commercial,Driver,5-10 Years,Aging (6-8yr),51.19,154.0,0.9226,0.0245,2.64,3.6,14,52.0,3062.0
WC-000027_202408,2024-08-01,Southern,Florida Panhandle,Industrial,Helper,10+ Years,Mid-Life (3-5yr),44.22,21.0,0.8956,0.0202,2.48,5.0,5,10.0,500.0
WC-000028_202408,2024-08-01,Southern,Florida Panhandle,E&P,Driver,1-2 Years,Mid-Life (3-5yr),40.3,11.0,0.8977,0.0225,2.77,3.7,1,10.0,500.0
WC-000029_202408,2024-08-01,Southern,Carolinas,Residential,Driver,< 1 Year,Mid-Life (3-5yr),38.82,333.0,0.9143,0.0155,3.43,4.6,20,275.0,13665.0
WC-000030_202408,2024-08-01,Southern,Carolinas,Commercial,Driver,10+ Years,New (0-2yr),45.67,131.0,0.8865,0.0239,2.36,4.6,11,45.0,2474.0
WC-000031_202408,2024-08-01,Southern,Carolinas,Industrial,Mechanic,5-10 Years,End-of-Life (9+yr),40.9,17.0,0.9057,0.0212,3.34,3.8,4,10.0,500.0
WC-000032_202408,2024-08-01,Southern,Carolinas,E&P,Helper,< 1 Year,New (0-2yr),41.08,14.0,0.9107,0.0166,2.7,4.3,4,10.0,500.0
WC-000033_202408,2024-08-01,Central,Great Plains,Residential,Driver,5-10 Years,New (0-2yr),48.89,298.0,0.8977,0.0204,3.34,6.0,12,207.0,13494.0
WC-000034_202408,2024-08-01,Central,Great Plains,Commercial,Driver,< 1 Year,New (0-2yr),39.47,132.0,0.8702,0.0258,3.41,5.1,10,84.0,4275.0
WC-000035_202408,2024-08-01,Central,Great Plains,Industrial,Driver,5-10 Years,New (0-2yr),41.51,28.0,0.9193,0.0235,3.49,6.0,6,10.0,500.0
WC-000036_202408,2024-08-01,Central,Great Plains,E&P,Driver,5-10 Years,End-of-Life (9+yr),46.54,13.0,0.9108,0.0151,2.47,5.1,3,10.0,500.0
WC-000037_202408,2024-08-01,Central,Upper Midwest,Residential,Driver,2-5 Years,New (0-2yr),48.02,321.0,0.8641,0.0237,3.06,4.8,16,369.0,23662.0
WC-000038_202408,2024-08-01,Central,Upper Midwest,Commercial,Driver,2-5 Years,End-of-Life (9+yr),42.92,145.0,0.8989,0.0156,3.21,4.2,5,17.0,973.0
WC-000039_202408,2024-08-01,Central,Upper Midwest,Industrial,Helper,1-2 Years,End-of-Life (9+yr),42.64,19.0,0.842,0.0155,2.3,5.2,4,10.0,500.0
